time,flow
06:30,246
06:45,233
07:00,252
07:15,351
07:30,356
07:45,371
08:00,369
08:15,427
08:30,389
08:45,368
09:00,377
09:15,348
09:30,286
09:45,284
10:00,285
10:15,260
10:30,279
10:45,256
11:00,288
11:15,253
11:30,284
11:45,274
12:00,268
12:15,267
12:30,282
12:45,282
13:00,249
13:15,264
13:30,340
13:45,242
14:00,261
14:15,284
14:30,278
14:45,275
15:00,283
15:15,320
15:30,289
15:45,285
16:00,332
16:15,355
16:30,313
16:45,301
17:00,304
17:15,382
17:30,339
17:45,347
18:00,308
18:15,309
18:30,240
18:45,207
19:00,179
19:15,201
19:30,142
19:45,160
20:00,127
20:15,124
20:30,127
20:45,131
21:00,125
21:15,113
21:30,97
21:45,107
22:00,111
22:15,98
22:30,83
22:45,69
23:00,57
23:15,50
23:30,25
23:45,36
00:00,27
00:15,27
00:30,16
00:45,20
01:00,13
