Route_ID,START_LAT,START_LONG,END_LAT,END_LONG,Day,Time,Time_Taken
175,-37.86703,145.09159,-37.86152,145.05851,Friday,7:0,7 mins
176,-37.86703,145.09159,-37.86152,145.05851,Friday,12:0,9 mins
177,-37.86703,145.09159,-37.86152,145.05851,Friday,18:0,9 mins
178,-37.86703,145.09159,-37.86152,145.05851,Saturday,7:0,5 mins
179,-37.86703,145.09159,-37.86152,145.05851,Saturday,12:0,10 mins
180,-37.86703,145.09159,-37.86152,145.05851,Saturday,18:0,7 mins
181,-37.86703,145.09159,-37.86155,145.05751,Monday,7:0,6 mins
182,-37.86703,145.09159,-37.86155,145.05751,Monday,12:0,8 mins
183,-37.86703,145.09159,-37.86155,145.05751,Monday,18:0,8 mins
184,-37.86703,145.09159,-37.86155,145.05751,Friday,7:0,7 mins
185,-37.86703,145.09159,-37.86155,145.05751,Friday,12:0,9 mins
186,-37.86703,145.09159,-37.86155,145.05751,Friday,18:0,9 mins
187,-37.86703,145.09159,-37.86155,145.05751,Saturday,7:0,5 mins
188,-37.86703,145.09159,-37.86155,145.05751,Saturday,12:0,10 mins
189,-37.86703,145.09159,-37.86155,145.05751,Saturday,18:0,7 mins
190,-37.86703,145.09159,-37.86088,145.05744,Monday,7:0,6 mins
191,-37.86703,145.09159,-37.86088,145.05744,Monday,12:0,7 mins
192,-37.86703,145.09159,-37.86088,145.05744,Monday,18:0,8 mins
193,-37.86703,145.09159,-37.86088,145.05744,Friday,7:0,6 mins
194,-37.86703,145.09159,-37.86088,145.05744,Friday,12:0,8 mins
195,-37.86703,145.09159,-37.86088,145.05744,Friday,18:0,9 mins
196,-37.86703,145.09159,-37.86088,145.05744,Saturday,7:0,5 mins
197,-37.86703,145.09159,-37.86088,145.05744,Saturday,12:0,10 mins
198,-37.86703,145.09159,-37.86088,145.05744,Saturday,18:0,7 mins
199,-37.86703,145.09159,-37.81441,145.02243,Monday,7:0,18 mins
200,-37.86703,145.09159,-37.81441,145.02243,Monday,12:0,18 mins
201,-37.86703,145.09159,-37.81441,145.02243,Monday,18:0,20 mins
202,-37.86703,145.09159,-37.81441,145.02243,Friday,7:0,18 mins
203,-37.86703,145.09159,-37.81441,145.02243,Friday,12:0,20 mins
204,-37.86703,145.09159,-37.81441,145.02243,Friday,18:0,22 mins
205,-37.86703,145.09159,-37.81441,145.02243,Saturday,7:0,15 mins
206,-37.86703,145.09159,-37.81441,145.02243,Saturday,12:0,22 mins
207,-37.86703,145.09159,-37.81441,145.02243,Saturday,18:0,19 mins
208,-37.86703,145.09159,-37.81469,145.02261,Monday,7:0,18 mins
209,-37.86703,145.09159,-37.81469,145.02261,Monday,12:0,18 mins
210,-37.86703,145.09159,-37.81469,145.02261,Monday,18:0,20 mins
211,-37.86703,145.09159,-37.81469,145.02261,Friday,7:0,18 mins
212,-37.86703,145.09159,-37.81469,145.02261,Friday,12:0,20 mins
213,-37.86703,145.09159,-37.81469,145.02261,Friday,18:0,22 mins
214,-37.86703,145.09159,-37.81469,145.02261,Saturday,7:0,15 mins
215,-37.86703,145.09159,-37.81469,145.02261,Saturday,12:0,22 mins
216,-37.86703,145.09159,-37.81469,145.02261,Saturday,18:0,19 mins
217,-37.86703,145.09159,-37.81495,145.0219,Monday,7:0,18 mins
218,-37.86703,145.09159,-37.81495,145.0219,Monday,12:0,18 mins
219,-37.86703,145.09159,-37.81495,145.0219,Monday,18:0,20 mins
220,-37.86703,145.09159,-37.81495,145.0219,Friday,7:0,18 mins
221,-37.86703,145.09159,-37.81495,145.0219,Friday,12:0,20 mins
222,-37.86703,145.09159,-37.81495,145.0219,Friday,18:0,22 mins
223,-37.86703,145.09159,-37.81495,145.0219,Saturday,7:0,15 mins
224,-37.86703,145.09159,-37.81495,145.0219,Saturday,12:0,22 mins
225,-37.86703,145.09159,-37.81495,145.0219,Saturday,18:0,19 mins
226,-37.86703,145.09159,-37.81457,145.02161,Monday,7:0,18 mins
227,-37.86703,145.09159,-37.81457,145.02161,Monday,12:0,18 mins
228,-37.86703,145.09159,-37.81457,145.02161,Monday,18:0,20 mins
229,-37.86703,145.09159,-37.81457,145.02161,Friday,7:0,18 mins
230,-37.86703,145.09159,-37.81457,145.02161,Friday,12:0,20 mins
231,-37.86703,145.09159,-37.81457,145.02161,Friday,18:0,22 mins
232,-37.86703,145.09159,-37.81457,145.02161,Saturday,7:0,15 mins
233,-37.86703,145.09159,-37.81457,145.02161,Saturday,12:0,22 mins
234,-37.86703,145.09159,-37.81457,145.02161,Saturday,18:0,19 mins
235,-37.86703,145.09159,-37.81489,145.02663,Monday,7:0,18 mins
236,-37.86703,145.09159,-37.81489,145.02663,Monday,12:0,18 mins
237,-37.86703,145.09159,-37.81489,145.02663,Monday,18:0,20 mins
238,-37.86703,145.09159,-37.81489,145.02663,Friday,7:0,18 mins
239,-37.86703,145.09159,-37.81489,145.02663,Friday,12:0,20 mins
240,-37.86703,145.09159,-37.81489,145.02663,Friday,18:0,22 mins
241,-37.86703,145.09159,-37.81489,145.02663,Saturday,7:0,15 mins
242,-37.86703,145.09159,-37.81489,145.02663,Saturday,12:0,22 mins
243,-37.86703,145.09159,-37.81489,145.02663,Saturday,18:0,19 mins
244,-37.86703,145.09159,-37.81521,145.02706,Monday,7:0,18 mins
245,-37.86703,145.09159,-37.81521,145.02706,Monday,12:0,18 mins
246,-37.86703,145.09159,-37.81521,145.02706,Monday,18:0,20 mins
247,-37.86703,145.09159,-37.81521,145.02706,Friday,7:0,18 mins
248,-37.86703,145.09159,-37.81521,145.02706,Friday,12:0,20 mins
249,-37.86703,145.09159,-37.81521,145.02706,Friday,18:0,22 mins
250,-37.86703,145.09159,-37.81521,145.02706,Saturday,7:0,14 mins
251,-37.86703,145.09159,-37.81521,145.02706,Saturday,12:0,22 mins
252,-37.86703,145.09159,-37.81521,145.02706,Saturday,18:0,19 mins
253,-37.86703,145.09159,-37.81545,145.02652,Monday,7:0,18 mins
254,-37.86703,145.09159,-37.81545,145.02652,Monday,12:0,18 mins
255,-37.86703,145.09159,-37.81545,145.02652,Monday,18:0,21 mins
256,-37.86703,145.09159,-37.81545,145.02652,Friday,7:0,18 mins
257,-37.86703,145.09159,-37.81545,145.02652,Friday,12:0,20 mins
258,-37.86703,145.09159,-37.81545,145.02652,Friday,18:0,23 mins
259,-37.86703,145.09159,-37.81545,145.02652,Saturday,7:0,15 mins
260,-37.86703,145.09159,-37.81545,145.02652,Saturday,12:0,24 mins
261,-37.86703,145.09159,-37.81545,145.02652,Saturday,18:0,19 mins
262,-37.86703,145.09159,-37.8151,145.02608,Monday,7:0,18 mins
263,-37.86703,145.09159,-37.8151,145.02608,Monday,12:0,18 mins
264,-37.86703,145.09159,-37.8151,145.02608,Monday,18:0,20 mins
265,-37.86703,145.09159,-37.8151,145.02608,Friday,7:0,18 mins
266,-37.86703,145.09159,-37.8151,145.02608,Friday,12:0,20 mins
267,-37.86703,145.09159,-37.8151,145.02608,Friday,18:0,23 mins
268,-37.86703,145.09159,-37.8151,145.02608,Saturday,7:0,15 mins
269,-37.86703,145.09159,-37.8151,145.02608,Saturday,12:0,23 mins
270,-37.86703,145.09159,-37.8151,145.02608,Saturday,18:0,19 mins
271,-37.86703,145.09159,-37.82264,145.05734,Monday,7:0,14 mins
272,-37.86703,145.09159,-37.82264,145.05734,Monday,12:0,15 mins
273,-37.86703,145.09159,-37.82264,145.05734,Monday,18:0,17 mins
274,-37.86703,145.09159,-37.82264,145.05734,Friday,7:0,14 mins
275,-37.86703,145.09159,-37.82264,145.05734,Friday,12:0,16 mins
